<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,1,12/23/21,07:01:00,346.1000000,346.6100000,345.6000000,345.8300000,166170
GAZP,1,12/23/21,07:02:00,345.8300000,345.9700000,345.1000000,345.5600000,220100
GAZP,1,12/23/21,07:03:00,345.4800000,346.7500000,345.4500000,346.5300000,48480
GAZP,1,12/23/21,07:04:00,346.5400000,346.8800000,346.3500000,346.7500000,75060
GAZP,1,12/23/21,07:05:00,346.7500000,347.0400000,346.7400000,347.0400000,72180
GAZP,1,12/23/21,07:06:00,347.0200000,347.4300000,346.9000000,347.1100000,121480
GAZP,1,12/23/21,07:07:00,346.9900000,347.1300000,346.7000000,346.7000000,46600
GAZP,1,12/23/21,07:08:00,346.7000000,346.7800000,346.5000000,346.6500000,51990
GAZP,1,12/23/21,07:09:00,346.5800000,346.7400000,346.5000000,346.7000000,14170
GAZP,1,12/23/21,07:10:00,346.7000000,346.9700000,346.5800000,346.9600000,37150
GAZP,1,12/23/21,07:11:00,346.9700000,347.0000000,346.8000000,346.9000000,23450
GAZP,1,12/23/21,07:12:00,346.8500000,346.9000000,346.7000000,346.7000000,34720
GAZP,1,12/23/21,07:13:00,346.8000000,346.8300000,346.7400000,346.8000000,8600
GAZP,1,12/23/21,07:14:00,346.8000000,347.0000000,346.7900000,347.0000000,24910
GAZP,1,12/23/21,07:15:00,347.0000000,347.0000000,346.5800000,346.6900000,29080
GAZP,1,12/23/21,07:16:00,346.6700000,346.8300000,346.6700000,346.7100000,5400
GAZP,1,12/23/21,07:17:00,346.8200000,346.8300000,346.6800000,346.7800000,17800
GAZP,1,12/23/21,07:18:00,346.7800000,346.9400000,346.6800000,346.8900000,20260
GAZP,1,12/23/21,07:19:00,346.7700000,346.8900000,346.7700000,346.8900000,4310
GAZP,1,12/23/21,07:20:00,346.8900000,347.2800000,346.8900000,347.2500000,31640
GAZP,1,12/23/21,07:21:00,347.2500000,347.5000000,347.1000000,347.5000000,54790
GAZP,1,12/23/21,07:22:00,347.5000000,347.5000000,347.2200000,347.5000000,17060
GAZP,1,12/23/21,07:23:00,347.5000000,347.9700000,347.4800000,347.9700000,49540
GAZP,1,12/23/21,07:24:00,347.8800000,347.9800000,347.5400000,347.9200000,41650
GAZP,1,12/23/21,07:25:00,347.8000000,347.9900000,347.7600000,347.9900000,36380
GAZP,1,12/23/21,07:26:00,347.9900000,347.9900000,347.7000000,347.7100000,23290
GAZP,1,12/23/21,07:27:00,347.9100000,347.9300000,347.5700000,347.7900000,46590
GAZP,1,12/23/21,07:28:00,347.9000000,347.9800000,347.7900000,347.9800000,19940
GAZP,1,12/23/21,07:29:00,347.9800000,348.1100000,347.9000000,348.1100000,68450
GAZP,1,12/23/21,07:30:00,348.1000000,348.2500000,348.0100000,348.2000000,18230
GAZP,1,12/23/21,07:31:00,348.2400000,348.3200000,347.9100000,348.0000000,122480
GAZP,1,12/23/21,07:32:00,348.0000000,348.0200000,347.5300000,347.6200000,44960
GAZP,1,12/23/21,07:33:00,347.7000000,347.8700000,347.6100000,347.7700000,6650
GAZP,1,12/23/21,07:34:00,347.8700000,347.9500000,347.8100000,347.9400000,13140
GAZP,1,12/23/21,07:35:00,347.9400000,347.9500000,347.7300000,347.8100000,13150
GAZP,1,12/23/21,07:36:00,347.8600000,347.8700000,347.5500000,347.7400000,40200
GAZP,1,12/23/21,07:37:00,347.7400000,347.7400000,347.3000000,347.4000000,46660
GAZP,1,12/23/21,07:38:00,347.4300000,347.4300000,347.2000000,347.2800000,32020
GAZP,1,12/23/21,07:39:00,347.2800000,347.4800000,347.1000000,347.1000000,54160
GAZP,1,12/23/21,07:40:00,347.1900000,347.4600000,347.1000000,347.2000000,28280
GAZP,1,12/23/21,07:41:00,347.3300000,347.3600000,347.1000000,347.2200000,6520
GAZP,1,12/23/21,07:42:00,347.2000000,347.3400000,347.1000000,347.2000000,23100
GAZP,1,12/23/21,07:43:00,347.3300000,347.7100000,347.3300000,347.3900000,38400
GAZP,1,12/23/21,07:44:00,347.5100000,347.7100000,347.4700000,347.6600000,14900
GAZP,1,12/23/21,07:45:00,347.6500000,347.7000000,347.5000000,347.6000000,19180
GAZP,1,12/23/21,07:46:00,347.6000000,347.7000000,347.5300000,347.7000000,10980
GAZP,1,12/23/21,07:47:00,347.5900000,347.6400000,347.5900000,347.6300000,2820
GAZP,1,12/23/21,07:48:00,347.6000000,347.6100000,347.1900000,347.3100000,32440
GAZP,1,12/23/21,07:49:00,347.3100000,347.3300000,347.2000000,347.3100000,10340
GAZP,1,12/23/21,07:50:00,347.3100000,347.3100000,347.1300000,347.1600000,8030
GAZP,1,12/23/21,07:51:00,347.2900000,347.3900000,347.1400000,347.3900000,10610
GAZP,1,12/23/21,07:52:00,347.3500000,347.4000000,347.1700000,347.2200000,6570
GAZP,1,12/23/21,07:53:00,347.3800000,347.3900000,347.2200000,347.2300000,2670
GAZP,1,12/23/21,07:54:00,347.2300000,347.3400000,347.1700000,347.2100000,7800
GAZP,1,12/23/21,07:55:00,347.2100000,347.3400000,347.1800000,347.2500000,3570
GAZP,1,12/23/21,07:56:00,347.2500000,347.3600000,347.1300000,347.2500000,12180
GAZP,1,12/23/21,07:57:00,347.2300000,347.3800000,347.1900000,347.3800000,9270
GAZP,1,12/23/21,07:58:00,347.3900000,347.6600000,347.3800000,347.6300000,46160
GAZP,1,12/23/21,07:59:00,347.6500000,347.8200000,347.6500000,347.6800000,21110
GAZP,1,12/23/21,08:00:00,347.8000000,347.8000000,347.7800000,347.8000000,9620
GAZP,1,12/23/21,08:01:00,347.8000000,348.0000000,347.6800000,347.8100000,40250
GAZP,1,12/23/21,08:02:00,347.9000000,347.9000000,347.7200000,347.8000000,16750
GAZP,1,12/23/21,08:03:00,347.7900000,347.8000000,347.5000000,347.6000000,10820
GAZP,1,12/23/21,08:04:00,347.5200000,347.6600000,347.5000000,347.6000000,13680
GAZP,1,12/23/21,08:05:00,347.6000000,347.6000000,347.4000000,347.6000000,9540
GAZP,1,12/23/21,08:06:00,347.5000000,347.6300000,347.4000000,347.5600000,3840
GAZP,1,12/23/21,08:07:00,347.5000000,347.6100000,347.4300000,347.5900000,3310
GAZP,1,12/23/21,08:08:00,347.5800000,347.9900000,347.4500000,347.8300000,15110
GAZP,1,12/23/21,08:09:00,347.9800000,348.0000000,347.7600000,348.0000000,27800
GAZP,1,12/23/21,08:10:00,348.0000000,348.1000000,347.8900000,348.1000000,35370
GAZP,1,12/23/21,08:11:00,348.0100000,348.2300000,347.8500000,348.1800000,72770
GAZP,1,12/23/21,08:12:00,348.1800000,348.2500000,348.0100000,348.2500000,13840
GAZP,1,12/23/21,08:13:00,348.2500000,348.2700000,348.0000000,348.0000000,53260
GAZP,1,12/23/21,08:14:00,348.0800000,348.0800000,347.7000000,347.8000000,8040
GAZP,1,12/23/21,08:15:00,347.8000000,347.9300000,347.7500000,347.8000000,20350
GAZP,1,12/23/21,08:16:00,347.8000000,347.9300000,347.7600000,347.9200000,20190
GAZP,1,12/23/21,08:17:00,347.7500000,348.0000000,347.7400000,347.9000000,13780
GAZP,1,12/23/21,08:18:00,347.9000000,347.9900000,347.7500000,347.8000000,5710
GAZP,1,12/23/21,08:19:00,347.9500000,347.9500000,347.5900000,347.5900000,18020
GAZP,1,12/23/21,08:20:00,347.6500000,347.6500000,347.5000000,347.5000000,36240
GAZP,1,12/23/21,08:21:00,347.6300000,347.6400000,347.5500000,347.6400000,2290
GAZP,1,12/23/21,08:22:00,347.6400000,347.7000000,347.6000000,347.7000000,7940
GAZP,1,12/23/21,08:23:00,347.7000000,347.7300000,347.6000000,347.7100000,6200
GAZP,1,12/23/21,08:24:00,347.7300000,347.8500000,347.7000000,347.8300000,6700
GAZP,1,12/23/21,08:25:00,347.8300000,347.8300000,347.6000000,347.6000000,2020
GAZP,1,12/23/21,08:26:00,347.6100000,347.8300000,347.6100000,347.8000000,11490
GAZP,1,12/23/21,08:27:00,347.8000000,347.8300000,347.6600000,347.8200000,1960
GAZP,1,12/23/21,08:28:00,347.8200000,347.8200000,347.7000000,347.8000000,740
GAZP,1,12/23/21,08:29:00,347.8000000,347.9700000,347.7000000,347.9700000,15330
GAZP,1,12/23/21,08:30:00,347.9400000,347.9500000,347.7000000,347.8000000,7860
GAZP,1,12/23/21,08:31:00,347.7900000,347.9500000,347.6500000,347.7200000,19050
GAZP,1,12/23/21,08:32:00,347.8700000,347.9400000,347.6600000,347.8700000,6870
GAZP,1,12/23/21,08:33:00,347.8700000,347.8900000,347.5500000,347.5500000,28410
GAZP,1,12/23/21,08:34:00,347.5300000,347.5500000,347.5100000,347.5100000,4980
GAZP,1,12/23/21,08:35:00,347.5500000,347.5500000,347.5000000,347.5000000,8420
GAZP,1,12/23/21,08:36:00,347.5400000,347.6500000,347.5100000,347.5500000,11190
GAZP,1,12/23/21,08:37:00,347.7000000,347.7800000,347.5500000,347.7700000,6070
GAZP,1,12/23/21,08:38:00,347.6000000,347.7600000,347.5800000,347.7400000,3810
GAZP,1,12/23/21,08:39:00,347.5900000,347.7600000,347.5300000,347.6100000,6930
GAZP,1,12/23/21,08:40:00,347.6000000,347.7000000,347.5200000,347.7000000,4280
GAZP,1,12/23/21,08:41:00,347.5400000,347.6800000,347.3000000,347.3000000,150440
GAZP,1,12/23/21,08:42:00,347.3000000,347.4500000,347.2800000,347.4000000,17080
